Time, Study Part, Sample, Trial Number, In progress, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
123.2744,A,40,2,True,0,0,0,0,0,0,1
123.2855,A,40,2,True,0,0,0,0,0,0,1
123.2966,A,40,2,True,0,0,0,0,0,0,1
123.3077,A,40,2,True,0,0,0,0,0,0,1
123.3188,A,40,2,True,0,0,0,0,0,0,1
123.3299,A,40,2,True,0,0,0,0,0,0,1
123.341,A,40,2,True,0,0,0,0,0,0,1
123.3521,A,40,2,True,0,0,0,0,0,0,1
123.3632,A,40,2,True,0,0,0,0,0,0,1
123.3743,A,40,2,True,0,0,0,0,0,0,1
123.3854,A,40,2,True,0,0,0,0,0,0,1
123.3965,A,40,2,True,0,0,0,0,0,0,1
123.4077,A,40,2,True,0,0,0,0,0,0,1
123.4188,A,40,2,True,0,0,0,0,0,0,1
123.4299,A,40,2,True,0,0,0,0,0,0,1
123.441,A,40,2,True,0,0,0,0,0,0,1
123.4521,A,40,2,True,0,0,0,0,0,0,1
123.4632,A,40,2,True,0,0,0,0,0,0,1
123.4743,A,40,2,True,0,0,0,0,0,0,1
123.4854,A,40,2,True,0,0,0,0,0,0,1
123.4965,A,40,2,True,0,0,0,0,0,0,1
123.5076,A,40,2,True,0,0,0,0,0,0,1
123.5187,A,40,2,True,0,0,0,0,0,0,1
123.5298,A,40,2,True,0,0,0,0,0,0,1
123.541,A,40,2,True,0,0,0,0,0,0,1
123.5521,A,40,2,True,0,0,0,0,0,0,1
123.5632,A,40,2,True,0,0,0,0,0,0,1
123.5743,A,40,2,True,0,0,0,0,0,0,1
123.5854,A,40,2,True,0,0,0,0,0,0,1
123.5965,A,40,2,True,0,0,0,0,0,0,1
123.6076,A,40,2,True,0,0,0,0,0,0,1
123.6187,A,40,2,True,0,0,0,0,0,0,1
123.6298,A,40,2,True,0,0,0,0,0,0,1
123.6409,A,40,2,True,0,0,0,0,0,0,1
123.652,A,40,2,True,0,0,0,0,0,0,1
123.6631,A,40,2,True,0,0,0,0,0,0,1
123.6743,A,40,2,True,0,0,0,0,0,0,1
123.6854,A,40,2,True,0,0,0,0,0,0,1
123.6965,A,40,2,True,0,0,0,0,0,0,1
123.7076,A,40,2,True,0,0,0,0,0,0,1
123.7187,A,40,2,True,0,0,0,0,0,0,1
123.7298,A,40,2,True,0,0,0,0,0,0,1
123.7409,A,40,2,True,0,0,0,0,0,0,1
123.752,A,40,2,True,0,0,0,0,0,0,1
123.7631,A,40,2,True,0,0,0,0,0,0,1
123.7742,A,40,2,True,0,0,0,0,0,0,1
123.7853,A,40,2,True,0,0,0,0,0,0,1
123.7964,A,40,2,True,0,0,0,0,0,0,1
123.8076,A,40,2,True,0,0,0,0,0,0,1
123.8187,A,40,2,True,0,0,0,0,0,0,1
123.8298,A,40,2,True,0,0,0,0,0,0,1
123.8409,A,40,2,True,0,0,0,0,0,0,1
123.852,A,40,2,True,0,0,0,0,0,0,1
123.8631,A,40,2,True,0,0,0,0,0,0,1
123.8742,A,40,2,True,0,0,0,0,0,0,1
123.8853,A,40,2,True,0,0,0,0,0,0,1
123.8964,A,40,2,True,0,0,0,0,0,0,1
123.9075,A,40,2,True,0,0,0,0,0,0,1
123.9186,A,40,2,True,0,0,0,0,0,0,1
123.9297,A,40,2,True,0,0,0,0,0,0,1
123.9409,A,40,2,True,0,0,0,0,0,0,1
123.952,A,40,2,True,0,0,0,0,0,0,1
123.9631,A,40,2,True,0,0,0,0,0,0,1
123.9742,A,40,2,True,0,0,0,0,0,0,1
123.9853,A,40,2,True,0,0,0,0,0,0,1
123.9964,A,40,2,True,0,0,0,0,0,0,1
124.0075,A,40,2,True,0,0,0,0,0,0,1
124.0186,A,40,2,True,0,0,0,0,0,0,1
124.0297,A,40,2,True,0,0,0,0,0,0,1
124.0408,A,40,2,True,0,0,0,0,0,0,1
124.0519,A,40,2,True,0,0,0,0,0,0,1
124.063,A,40,2,True,0,0,0,0,0,0,1
124.0742,A,40,2,True,0,0,0,0,0,0,1
124.0853,A,40,2,True,0,0,0,0,0,0,1
124.0964,A,40,2,True,0,0,0,0,0,0,1
124.1075,A,40,2,True,0,0,0,0,0,0,1
124.1186,A,40,2,True,0,0,0,0,0,0,1
124.1297,A,40,2,True,0,0,0,0,0,0,1
124.1408,A,40,2,True,0,0,0,0,0,0,1
124.1519,A,40,2,True,0,0,0,0,0,0,1
124.163,A,40,2,True,0,0,0,0,0,0,1
124.1741,A,40,2,True,0,0,0,0,0,0,1
124.1852,A,40,2,True,0,0,0,0,0,0,1
124.1964,A,40,2,True,0,0,0,0,0,0,1
124.2075,A,40,2,True,0,0,0,0,0,0,1
124.2186,A,40,2,True,0,0,0,0,0,0,1
124.2297,A,40,2,True,0,0,0,0,0,0,1
124.2408,A,40,2,True,0,0,0,0,0,0,1
124.2519,A,40,2,True,0,0,0,0,0,0,1
124.263,A,40,2,True,0,0,0,0,0,0,1
124.2741,A,40,2,True,0,0,0,0,0,0,1
124.2852,A,40,2,True,0,0,0,0,0,0,1
124.2963,A,40,2,True,0,0,0,0,0,0,1
124.3074,A,40,2,True,0,0,0,0,0,0,1
124.3185,A,40,2,True,0,0,0,0,0,0,1
124.3297,A,40,2,True,0,0,0,0,0,0,1
124.3408,A,40,2,True,0,0,0,0,0,0,1
124.3519,A,40,2,True,0,0,0,0,0,0,1
124.363,A,40,2,True,0,0,0,0,0,0,1
124.3741,A,40,2,True,0,0,0,0,0,0,1
124.3852,A,40,2,True,0,0,0,0,0,0,1
124.3963,A,40,2,True,0,0,0,0,0,0,1
124.4074,A,40,2,True,0,0,0,0,0,0,1
124.4185,A,40,2,True,0,0,0,0,0,0,1
124.4296,A,40,2,True,0,0,0,0,0,0,1
124.4407,A,40,2,True,0,0,0,0,0,0,1
124.4518,A,40,2,True,0,0,0,0,0,0,1
124.463,A,40,2,True,0,0,0,0,0,0,1
124.4741,A,40,2,True,0,0,0,0,0,0,1
124.4852,A,40,2,True,0,0,0,0,0,0,1
124.4963,A,40,2,True,0,0,0,0,0,0,1
124.5074,A,40,2,True,0,0,0,0,0,0,1
124.5185,A,40,2,True,0,0,0,0,0,0,1
124.5296,A,40,2,True,0,0,0,0,0,0,1
124.5407,A,40,2,True,0,0,0,0,0,0,1
124.5518,A,40,2,True,0,0,0,0,0,0,1
124.5629,A,40,2,True,0,0,0,0,0,0,1
124.574,A,40,2,True,0,0,0,0,0,0,1
124.5851,A,40,2,True,0,0,0,0,0,0,1
124.5963,A,40,2,True,0,0,0,0,0,0,1
124.6074,A,40,2,True,0,0,0,0,0,0,1
124.6185,A,40,2,True,0,0,0,0,0,0,1
124.6296,A,40,2,True,0,0,0,0,0,0,1
124.6407,A,40,2,True,0,0,0,0,0,0,1
124.6518,A,40,2,True,0,0,0,0,0,0,1
124.6629,A,40,2,True,0,0,0,0,0,0,1
